[0,                                                params  mean_test_score  rank_test_score
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.548376                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.541276               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.536290               25
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.537229               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.534882               29
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.545683                9
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.537817               17, 5,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.570881                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.569910                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.561404               17
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.563328               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.544236               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.569328                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548375               21
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543875               29
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.570881                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.569910                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.561404               17
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.563328               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.544236               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.569328                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.548375               21
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543875               29
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.570881                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.569910                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.561404               17
