[0,                                                params  mean_test_score  rank_test_score
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.535677               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.539720               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.537506               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.540004               17, 44,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.569362                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.564407               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.565668                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.573854                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.542627               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.561505               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.549566               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.558156               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.569362                5
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.564407               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.565668                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.573854                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.542627               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.561505               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.549566               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.558156               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.569362                5
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.564407               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.565668                9
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.573854                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.542627               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.561505               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.549566               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.558156               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.569362                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.564407               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.565668                9
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.573854                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.542627               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.561505               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.549566               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.558156               21, 45,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.548705                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.548148                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.526179               29
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.533599               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.532420               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.536188                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.535682               13
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.532206               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.548705                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.548148                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.526179               29
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.533599               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.532420               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.536188                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.535682               13
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532206               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.548705                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.548148                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.526179               29
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.533599               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.532420               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.536188                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.535682               13
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.532206               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.548705                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.548148                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.526179               29
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.533599               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.532420               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.536188                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.535682               13
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.532206               25, 46,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.567524                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.565970                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.536590               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.545155               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.536341               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.548638               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.526944               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.549659                9
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.567524                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.565970                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.536590               21
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.545155               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.536341               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.548638               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.526944               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.549659                9
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.567524                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.565970                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.536590               21
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.545155               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.536341               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.548638               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.526944               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.549659                9
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.567524                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.565970                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.536590               21
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.545155               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.536341               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.548638               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.526944               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.549659                9, 47,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.543007               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.540621               25
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.561043                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.559395               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.567145                5
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.572813                1
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.534143               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.542313               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.543007               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.540621               25
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.561043                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.559395               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.567145                5
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.572813                1
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.534143               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.542313               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.543007               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.540621               25
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.561043                9
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.559395               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.567145                5
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.572813                1
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.534143               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.542313               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.543007               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.540621               25
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.561043                9
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.559395               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.567145                5
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.572813                1
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.534143               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.542313               21, 48,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.539734                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546214                1
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.532522               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.535818               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538062               13
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538133                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.526185               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.529019               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.539734                5
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546214                1
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.532522               21
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.535818               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538062               13
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538133                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.526185               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.529019               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.539734                5
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546214                1
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.532522               21
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.535818               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538062               13
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538133                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.526185               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.529019               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.539734                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546214                1
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.532522               21
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.535818               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538062               13
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538133                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.526185               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.529019               25, 49,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.529246               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.534886                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.533492                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.536019                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.521596               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.519674               29
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.533460               13
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.521866               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.529246               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.534886                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.533492                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.536019                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.521596               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.519674               29
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532738               16
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.521866               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.529246               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.534886                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.533492                9
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.536019                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.521596               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.519674               29
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.533460               13
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.521866               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.529246               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.534886                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.533492                9
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.536019                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.521596               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.519674               29
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.533460               13
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.521866               21, 50,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.579610                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.577840                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.567951               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.570441                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.529041               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.550650               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.544001               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.549426               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.579610                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.577840                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.567951               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.570441                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.529041               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.550650               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.544001               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.549426               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.579610                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.577840                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.567951               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.570441                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.529041               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.550650               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.544001               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.549426               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.579610                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.577840                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.567951               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.570441                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.529041               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.550650               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.544001               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.549426               21, 51,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.553383               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.555878                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.535879               25
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.539176               21
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.534363               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.554261                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.547454               17
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.560158                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.553383               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.555878                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.535879               25
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.539176               21
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.534363               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.554261                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.547454               17
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.560158                1
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.553383               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.555878                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.535879               25
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.539176               21
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.534363               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.554261                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.547454               17
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.560158                1
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.553383               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.555878                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.535879               25
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.539176               21
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.534363               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.554261                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.547454               17
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.560158                1, 52,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.561637               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.563294                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.555750               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.558136               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.566696                5
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.576956                1
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.540749               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.553939               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.561637               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.563294                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.555750               21
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.558136               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.566696                5
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.576956                1
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.540749               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.553939               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.561637               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.563294                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.555750               21
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.558136               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.566696                5
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.576956                1
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.540749               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.553939               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.561637               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.563294                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.555750               21
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.558136               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.566696                5
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.576956                1
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.540749               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.553939               25, 53,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.528150               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.527305               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.547279                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.543400                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.526821               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533811                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.519704               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.512955               29
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.528150               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.527305               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.547279                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.543400                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.526821               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.533811                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.519704               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.512955               29
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.528150               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.527305               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.547279                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.543400                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.526821               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.533811                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.519704               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.512955               29
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.528150               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.527305               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.547279                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.543400                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.526821               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.533811                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.519704               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.512955               29, 54,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.575124                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.573408               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.591207                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.595390                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.547264               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.564748               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.532865               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.549486               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.575124                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.573408               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.591207                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.595390                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.547264               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.564748               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532865               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.549486               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.575124                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.573408               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.591207                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.595390                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.547264               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.564748               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.532865               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.549486               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.575124                9
